Project,CDD,BL FD,New FinishDate,ClientName,Des.Qty,Des.Val (Lakhs),Pr.%WC,Task%WC,Pr.Qty,Pr.Val (Lakhs),Project Budget (Hrs),CompletionStatus,PM
4106,01-09-2018 08:00,0,27-09-2018 17:00,Thermax,1,₹ 5.00,11,0,1,₹ 5.00,0,8-Project Completed,Viswanathan
4161,03-01-2018 08:00,09-10-2017 12:00,06-03-2018 12:30,BPCL,3,₹ 39.16,100,100,3,₹ 41.20,2622,8-Project Completed,Anand
4166,31-03-2018 08:00,0,13-04-2017 16:30,Programme AD,30,₹ 267.00,100,100,50,₹ 445.00,11925,8-Project Completed,Varun
4166,31-03-2018 08:00,0,12-12-2017 09:58,Programme AD,20,₹ 178.00,100,100,50,₹ 445.00,11925,8-Project Completed,Varun
4167,07-10-2017 08:00,17-10-2017 17:00,22-12-2017 17:00,BORL,1,₹ 67.21,100,100,1,₹ 67.20,2772,8-Project Completed,Anand
4169,20-12-2017 08:00,29-09-2017 14:42,29-09-2017 14:43,Essar,1,₹ 15.29,100,100,2,₹ 214.00,8777,8-Project Completed,Varun
4169,20-12-2017 08:00,27-10-2017 13:09,16-03-2018 14:00,Essar,1,₹ 198.71,100,100,2,₹ 214.00,8777,8-Project Completed,Varun
4170,01-01-2018 06:00,30-01-2018 20:30,30-01-2018 20:30,IOCL-EIL,2,₹ 124.06,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,16-02-2018 20:30,16-02-2018 20:30,IOCL-EIL,2,₹ 95.64,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,16-02-2018 21:30,16-02-2018 21:30,IOCL-EIL,2,₹ 39.52,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,23-02-2018 21:30,23-02-2018 21:30,IOCL-EIL,1,₹ 44.01,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,28-02-2018 21:30,28-02-2018 21:30,IOCL-EIL,2,₹ 95.64,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,06-03-2018 21:30,06-03-2018 21:30,IOCL-EIL,4,₹ 143.42,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,13-03-2018 20:30,13-03-2018 20:30,IOCL-EIL,1,₹ 32.63,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,14-03-2018 20:30,14-03-2018 20:30,IOCL-EIL,1,₹ 32.72,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,16-03-2018 21:30,16-03-2018 21:30,IOCL-EIL,2,₹ 63.55,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
4170,01-01-2018 06:00,24-03-2018 20:30,24-03-2018 20:30,IOCL-EIL,1,₹ 13.40,100,100,21,₹ 910.60,90569,8-Project Completed,Elamaran
