# --------------------------------------------------
Keyword,agile
Suggestion Type,Mix of sources (default)
Filters,""
Total Results,1000
Volume Minimum,0
Volume Maximum,70800
Export Date,2017-03-02
# --------------------------------------------------


Keyword,Relevancy,Min Volume,Max Volume
agile,5,4301,6500
agile methodology,5,30301,70800
agile development,5,9301,11500
agile methodology overview,5,51,100
agile scrum,5,2901,4300
agile software development,5,1701,2900
agile methodology scrum,5,101,200
agile definition,5,6501,9300
agile scrum methodology,5,501,850
an agile,5,n/a,n/a
agile project management,5,4301,6500
agile dictionary,5,51,100
agile software,5,851,1700
agile manifesto,5,4301,6500
agile development phases,5,0,10
what agile,5,n/a,n/a
about agile,5,n/a,n/a
agile agile,5,n/a,n/a
agili,5,51,100
agile meaning in english,5,101,200
in agile,5,n/a,n/a
agile software projects,5,n/a,n/a
agile software development team,5,0,10
agile methodology definition,5,51,100
scrum methodology,5,2901,4300
agile description,5,n/a,n/a
agile application development process,5,n/a,n/a
agile process explained,5,n/a,n/a
agile development methodology,5,201,500
agile programming,5,1701,2900
agile methodologies,5,851,1700
articles on agile software development,5,n/a,n/a
agile methodology steps,5,51,100
agile methodology wiki,5,101,200
agile process for software development,5,n/a,n/a
what is agile development process,5,n/a,n/a
understanding agile development,5,n/a,n/a
what is the agile process,5,11,50
agile development method,5,11,50
define agile methodology,5,11,50
agile projects,5,101,200
agile project teams,5,n/a,n/a
agile wiki,5,101,200
agile software development with,5,n/a,n/a
about agile software development,5,n/a,n/a
what agile software development,5,n/a,n/a
agile program development,5,n/a,n/a
agile development projects,5,n/a,n/a
agile agile development,5,n/a,n/a
agile software team,5,n/a,n/a
agile software development processes,5,0,10
agile development teams,5,11,50
what is a agile methodology,5,0,10
agile project development,5,11,50
agile it development,5,n/a,n/a
agile developers,5,n/a,n/a
what is agile programming,5,11,50
the agile development process,5,n/a,n/a
agile developments,5,n/a,n/a
an agile approach,5,n/a,n/a
what are agile methods,5,n/a,n/a
what is agile methods,5,n/a,n/a
what is agile practices,5,n/a,n/a
software development agile model,5,n/a,n/a
how to agile development,5,n/a,n/a
agile sw development,5,201,500
agile development explained,5,0,10
agile practices in software development,5,n/a,n/a
agile environment development,5,n/a,n/a
overview of agile development,5,n/a,n/a
agile methods and practices,5,n/a,n/a
