# --------------------------------------------------
Keyword,function point estimation
Suggestion Type,Mix of sources (default)
Filters,""
Total Results,1000
Volume Minimum,0
Volume Maximum,118000
Export Date,2017-03-02
# --------------------------------------------------


Keyword,Relevancy,Min Volume,Max Volume
function point estimation,5,11,50
function point estimation example,5,0,10
function point estimation ppt,5,0,10
function point estimation tutorial,5,n/a,n/a
function point calculation,5,n/a,n/a
function point estimation technique,5,0,10
function point analysis pdf,5,0,10
function point estimation case study,5,n/a,n/a
function point estimation tool,5,n/a,n/a
function point analysis example case study,5,n/a,n/a
what is function point estimation,5,n/a,n/a
function point calculator,5,n/a,n/a
function point estimation formula,5,n/a,n/a
function point estimation technique example,5,n/a,n/a
function point software estimation,5,n/a,n/a
function point analysis estimation,5,0,10
function point estimation model,5,n/a,n/a
functional point estimation example,5,n/a,n/a
estimation function point,5,n/a,n/a
function point estimating,5,n/a,n/a
function point estimation method,5,n/a,n/a
what does function point estimation mean,5,n/a,n/a
software estimation using function point analysis,5,n/a,n/a
function point cost estimation,5,n/a,n/a
function point analysis estimation example,5,n/a,n/a
estimation using function points,5,n/a,n/a
function point estimation definition,5,n/a,n/a
functional points estimation,5,n/a,n/a
function point estimation tutorial pdf,5,n/a,n/a
function point analysis software estimation,5,n/a,n/a
estimate function points,5,n/a,n/a
estimating function points,5,n/a,n/a
estimation techniques function point analysis,5,n/a,n/a
function point estimate example,5,n/a,n/a
function point estimates,5,n/a,n/a
function point analysis estimation tutorial,5,n/a,n/a
software function point estimation,5,n/a,n/a
function points are used for estimating,5,n/a,n/a
function point estimation tutorial example,5,n/a,n/a
function point estimation wiki,5,n/a,n/a
functional point estimation,5,101,200
functional point estimation technique,5,n/a,n/a
early function point estimation,5,n/a,n/a
function point software cost estimation,5,n/a,n/a
function point estimation mean,5,n/a,n/a
what is function point in software estimation,5,n/a,n/a
estimation function point analysis,5,n/a,n/a
function point estimation simple example,5,n/a,n/a
function point model of cost estimation,5,n/a,n/a
function point test estimation technique,5,n/a,n/a
function points estimation techniques,5,n/a,n/a
function point estimation sample,5,n/a,n/a
function point estimation template,5,0,10
software estimation function points,5,n/a,n/a
function point estimation techniques,5,n/a,n/a
software estimation function point analysis,5,n/a,n/a
estimation techniques function point,5,n/a,n/a
functional point estimation techniques,5,n/a,n/a
function point analysis estimation technique,5,n/a,n/a
fpa estimation model,5,n/a,n/a
function point estimation in software testing,5,n/a,n/a
function points estimation example,5,n/a,n/a
function point estimation pdf,5,n/a,n/a
functional point estimation tutorial,5,n/a,n/a
function point metric example,5,n/a,n/a
function point metric,5,n/a,n/a
function points method,5,n/a,n/a
what is function point analysis,5,n/a,n/a
fpa analysis,5,n/a,n/a
function point analysis fpa,5,n/a,n/a
fp estimation technique,5,n/a,n/a
