# --------------------------------------------------
Keyword,scrumstudy
Suggestion Type,Mix of sources (default)
Filters,""
Total Results,1000
Volume Minimum,0
Volume Maximum,95000000
Export Date,2017-03-02
# --------------------------------------------------


Keyword,Relevancy,Min Volume,Max Volume
scrumstudy,5,101,200
scrumstudy vs scrum alliance,5,51,100
scrumstudy scrum master certification,5,n/a,n/a
scrumstudy exam,5,n/a,n/a
scrumstudy reviews,5,n/a,n/a
scrumstudy review,5,n/a,n/a
scrumstudy certification registry,5,n/a,n/a
scrumstudy certification,5,n/a,n/a
vmedu,5,51,100
scrumstudy exam questions,5,n/a,n/a
scrum body of knowledge 2016,5,n/a,n/a
scrum fundamentals certified (sfc),5,n/a,n/a
scrum study guide pdf,5,n/a,n/a
scrumstudy login,5,n/a,n/a
scrum master logo,5,n/a,n/a
agile certification online course,5,n/a,n/a
scrum study,5,101,200
free certified scrum master training,5,n/a,n/a
official scrum body,3,n/a,n/a
learning scrum,3,51,100
a guide to the scrum body of knowledge,3,n/a,n/a
agile certification training online,3,n/a,n/a
agile scrum master certification,3,11,50
the scrum guide the official scrum body of knowledge,3,n/a,n/a
certified scrum master logo download,3,n/a,n/a
agile methodology scrum certification,3,n/a,n/a
agile scrum training,3,51,100
online agile certification training,3,n/a,n/a
scrum fundamentals certified,3,11,50
agile scrum courses,3,n/a,n/a
agile training free,3,n/a,n/a
scrum case study video,3,n/a,n/a
free agile training online,3,n/a,n/a
what is scrum certification,3,11,50
agile classes,3,51,100
scrum certificate,3,51,100
scrum body of knowledge,3,11,50
scrum certifications,3,101,200
scrum body of knowledge download,3,n/a,n/a
expert scrum foundations,3,n/a,n/a
agile online training and certification,3,n/a,n/a
agile project management online training free,3,n/a,n/a
free scrum training online,3,n/a,n/a
online agile scrum training,3,n/a,n/a
agile certification scrum master,3,0,10
sfc certification,3,51,100
scrum certified,3,201,500
scrum project management certification,3,n/a,n/a
online scrum master training,3,11,50
sbok scrum,3,n/a,n/a
scrum fundamentals certification,3,n/a,n/a
agile scrum training certification,3,n/a,n/a
what is agile scrum certification,3,n/a,n/a
agile certifications list,3,n/a,n/a
free online agile training,3,n/a,n/a
agile certification online free,3,n/a,n/a
agile scrum certification online,3,0,10
scrum classes,3,11,50
free agile classes,3,n/a,n/a
csm training online,3,51,100
certified agile training,3,n/a,n/a
scrum master online training,3,11,50
scrum certification online,3,11,50
agile certified scrum master,3,11,50
scrum coursera,3,n/a,n/a
agile and scrum training,3,11,50
free agile project management training online,3,n/a,n/a
learn scrum for free,3,n/a,n/a
free scrum training material,3,n/a,n/a
agile scrum training online,3,0,10
scrum certifications list,3,n/a,n/a
scrum master training online free,3,0,10
scrum accreditation,3,n/a,n/a
agile free online training,3,n/a,n/a
scrum master training free,3,n/a,n/a
agile scrum practitioner training,3,n/a,n/a
online agile classes,3,n/a,n/a
free scrum master certification,3,11,50
agile online training free,3,n/a,n/a
agile scrum certification,3,11,50
scrum agile courses,3,n/a,n/a
agile and scrum certification,3,11,50
