# --------------------------------------------------
Keyword,software size estimation
Suggestion Type,Mix of sources (default)
Filters,""
Total Results,1000
Volume Minimum,0
Volume Maximum,70800
Export Date,2017-03-02
# --------------------------------------------------


Keyword,Relevancy,Min Volume,Max Volume
software size estimation,5,n/a,n/a
software size estimation techniques,5,n/a,n/a
sizing techniques types,5,n/a,n/a
software project size estimation,5,n/a,n/a
software size estimation techniques pdf,5,n/a,n/a
project size categories software engineering,5,n/a,n/a
software size estimation metrics,5,n/a,n/a
software size based estimation,5,n/a,n/a
software size estimation methods,5,n/a,n/a
software sizing and estimating,5,n/a,n/a
software size estimation technique,5,n/a,n/a
estimating software size,5,n/a,n/a
size estimation in software engineering,5,n/a,n/a
software sizing techniques,5,n/a,n/a
software estimation methods,5,n/a,n/a
software size and cost estimation,5,n/a,n/a
project size estimation metrics in software engineering,5,n/a,n/a
size of software,5,n/a,n/a
software size,5,11,50
software size estimation ppt,5,n/a,n/a
sizing software projects,5,n/a,n/a
size software,5,n/a,n/a
software estimation techniques,5,11,50
size estimation techniques in software engineering ppt,5,n/a,n/a
software sizing methods,5,n/a,n/a
software estimation approaches,5,n/a,n/a
software project planning size estimation metrics,5,n/a,n/a
software project size,5,n/a,n/a
two software size estimation techniques,5,n/a,n/a
software sizing estimation,5,n/a,n/a
software size estimation tools,5,n/a,n/a
software sizing estimation techniques,5,n/a,n/a
software cost estimation and sizing methods issues and guidelines,5,n/a,n/a
quantify the size of software,5,n/a,n/a
size estimation techniques in software engineering,5,n/a,n/a
object points software estimation,5,n/a,n/a
software sizing,5,n/a,n/a
four types of software estimations,5,n/a,n/a
what is size estimation,5,n/a,n/a
project size estimation,5,n/a,n/a
cost estimation techniques,5,11,50
software size measurement,5,n/a,n/a
cost estimation methods,5,11,50
estimating software project size,5,n/a,n/a
software size and reuse estimating,5,n/a,n/a
sizing model,5,n/a,n/a
software sizing problem,5,n/a,n/a
project sizing techniques,5,n/a,n/a
application sizing methodology,5,n/a,n/a
sizing techniques,5,0,10
project size estimation techniques in software engineering,5,n/a,n/a
how to estimate size of software project,5,n/a,n/a
problem based estimation,5,n/a,n/a
what are software project estimation techniques available,5,n/a,n/a
project size categories for software products,5,n/a,n/a
software size and complexity,5,n/a,n/a
object points in software engineering,5,n/a,n/a
software estimation models,5,0,10
cost estimation guidelines,5,n/a,n/a
software project estimation guidelines,5,n/a,n/a
software cost estimation techniques,5,0,10
different estimation techniques software,5,n/a,n/a
wiki estimation software,5,n/a,n/a
software size estimation model and its evaluation,5,n/a,n/a
exploring machine learning techniques software size estimation,5,n/a,n/a
software cost estimation,4,11,50
software estimation techniques pdf,4,0,10
size estimation techniques,4,n/a,n/a
software sizing estimation and risk management pdf,4,n/a,n/a
components of software estimation,4,n/a,n/a
software sizing tools,4,n/a,n/a
software estimation techniques wikipedia,4,n/a,n/a
project size categories in software engineering,4,n/a,n/a
software sizing methods ppt,4,n/a,n/a
cost estimation methods pdf,4,0,10
cost estimation methods in software engineering,4,n/a,n/a
software sizing in software engineering,3,n/a,n/a
software sizing models,3,n/a,n/a
software sizing methodology,3,n/a,n/a
software sizing document,3,n/a,n/a
cost estimation techniques pdf,3,n/a,n/a
software estimation document,3,n/a,n/a
software estimation techniques wiki,3,n/a,n/a
nesma software estimation,3,n/a,n/a
function point estimation wiki,3,n/a,n/a
software size estimation techniques ppt,3,n/a,n/a
function point software estimation,3,n/a,n/a
software sizing guide,3,n/a,n/a
estimation methodologies in software,3,n/a,n/a
software estimation method,3,n/a,n/a
software project sizing,3,n/a,n/a
estimating size,3,n/a,n/a
software estimation guidelines,3,n/a,n/a
project size estimation techniques,3,n/a,n/a
software cost estimation methods,3,0,10
software development effort estimation wikipedia the free,3,n/a,n/a
software cost estimation process,3,n/a,n/a
cost estimation in software engineering pdf,3,n/a,n/a
costing method for software,3,n/a,n/a
function points wiki,3,n/a,n/a
function point sizing,3,n/a,n/a
software support cost estimation,3,n/a,n/a
size and effort estimation,3,n/a,n/a
software size estimation of object oriented systems,3,n/a,n/a
software size estimation pdf,3,n/a,n/a
software size estimation techniques in software engineering,3,n/a,n/a
what does function point estimation mean,3,n/a,n/a
cost estimation,3,201,500
estimating a software project,3,n/a,n/a
functional point estimation,3,101,200
function point software cost estimation,3,n/a,n/a
software estimation tools,3,11,50
software estimation best practices,3,n/a,n/a
quick fp estimation,3,n/a,n/a
value adjustment factor in software development,3,n/a,n/a
types of software estimation techniques,3,n/a,n/a
cosmic ffp example,3,n/a,n/a
software estimation book,3,n/a,n/a
caper jones function point,3,n/a,n/a
fp estimation example,3,n/a,n/a
software development estimation,3,0,10
cost estimation techniques in software engineering,3,n/a,n/a
software estimation using function point analysis,3,n/a,n/a
function point analysis estimation example,3,n/a,n/a
function point estimation,3,11,50
function point estimation sample,3,n/a,n/a
function point estimation tutorial,2,n/a,n/a
function point estimation example,2,0,10
variants of function point analysis,2,n/a,n/a
function point estimation excel template,2,n/a,n/a
cosmic ffp tutorial,2,n/a,n/a
function point estimation technique example,2,n/a,n/a
functional point estimation example,2,n/a,n/a
fpa estimation example,2,n/a,n/a
how to calculate function point analysis,2,n/a,n/a
function point calculation,2,n/a,n/a
different software estimation techniques,2,n/a,n/a
function point method cost estimation,2,n/a,n/a
cost estimation using function point,2,n/a,n/a
function point analysis cost estimation,2,n/a,n/a
function point estimation model,2,n/a,n/a
fp estimation template,2,n/a,n/a
fp based estimation,2,n/a,n/a
how to calculate function points with examples,2,n/a,n/a
function points estimation,2,101,200
function point estimation pdf,2,n/a,n/a
quantify the size of software to be developed,2,n/a,n/a
guidelines for software development effort estimation,2,n/a,n/a
sizing requirements,2,n/a,n/a
sizing a project,2,n/a,n/a
complexity point estimation wiki,2,n/a,n/a
software estimation methodologies,2,n/a,n/a
