Date,Total indexed,Blocked by robots,Removed
3/6/16,0,0,0
3/13/16,167,0,0
3/20/16,167,0,0
3/27/16,167,0,0
4/3/16,164,0,0
4/10/16,158,0,0
4/17/16,153,0,0
4/24/16,153,0,0
5/1/16,153,0,0
5/8/16,153,0,0
5/15/16,107,0,0
5/22/16,127,0,0
5/29/16,141,0,0
6/5/16,137,0,0
6/12/16,138,0,0
6/19/16,137,0,0
6/26/16,135,0,0
7/3/16,128,0,0
7/10/16,120,0,0
7/17/16,112,0,0
7/24/16,112,0,0
7/31/16,112,0,0
8/7/16,82,0,0
8/14/16,82,0,0
8/21/16,73,0,0
8/28/16,73,0,0
9/4/16,69,0,0
9/11/16,69,0,0
9/18/16,84,0,0
9/25/16,142,0,0
10/2/16,181,0,0
10/9/16,276,0,0
10/16/16,383,0,0
10/23/16,373,0,0
10/30/16,360,0,0
11/6/16,360,0,0
11/13/16,440,0,0
11/20/16,430,0,0
11/27/16,431,0,0
12/4/16,437,0,0
12/11/16,457,0,0
12/18/16,445,0,0
12/25/16,435,0,0
1/1/17,430,0,0
1/8/17,438,0,0
1/15/17,442,0,0
1/22/17,445,0,0
1/29/17,446,0,0
2/5/17,448,0,0
2/12/17,451,0,0
2/19/17,459,0,0
2/26/17,469,0,0
